FAMILY,SPECIES,BODY LENGTH (mm),,,,,,,,OFFSPRING SIZE  (mm),,,,,,LONGEVITY (d),,,,,,GENERATIONS PER YEAR,,,,,,FECUNDITY,,,,EXPLANATORY VARIABLES (Y/N),,,,,
,,Male,ref.,Female,ref.,Mean (m+f),ref.,Mean (?sex),ref.,1st Instar,ref.,Egg Length,ref.,Egg Width,ref.,Nymph,ref.,Adult,ref.,Total,ref.,Voltinism,ref.,Univoltine,Bivoltine,Multivoltine,Semivoltine,Clutch Size,ref.,Clutches/yr,ref.,Habitat,Diet,Mating Syst.,Ovipos'n Site,Diapause St.,Act. Period
Acrididae,Melanoplus dodgei,,,,,,,,,,,5.77,55,1.59,55,,,,,,,,,,,,,8,55,,,,,,,,
Acrididae,Melanoplus femurrubrum,20.25,1,26,1,23.125,1,23.125,1,4.8,1,4.32,"1,55",0.95,55,40,1,,,,,Univoltine,59,1,0,0,0,22.5,"1,55",,,X,X,,X,,X
Acrididae,Melanoplus foedus,26.5,1,30.5,1,28.5,1,28.5,1,5.4,1,4.95,1,,,37.67,1,,,,,,,,,,,23,1,,,X,X,,X,,X
Acrididae,Melanoplus gladstoni,20.75,1,22.65,1,21.7,1,21.7,1,4.1,1,4.45,1,,,56,1,,,,,Univoltine,7,1,0,0,0,22.5,1,,,X,X,,X,,X
Acrididae,Melanoplus glaucipes,,,,,,,,,,,4.26,55,1.15,55,,,,,,,,,,,,,10.58,55,,,,,,,,
Acrididae,Melanoplus infantilis,16.75,1,17.5,1,17.125,1,17.125,1,4.7,1,4.05,1,,,30.5,1,18.5,1,49,c,,,,,,,11.5,1,,,X,X,,X,,
Acrididae,Melanoplus keeleri,20.1,1,20.75,1,20.425,1,20.425,1,4.7,1,4.15,1,,,46,1,,,,,,,,,,,21,1,,,X,X,,X,,
Acrididae,Melanoplus kennicotti,16.5,1,26,1,21.25,1,21.25,1,4.95,1,4.4,1,,,33.5,1,,,,,,,,,,,12,1,,,X,X,,X,X,
Acrididae,Melanoplus lakinus,18.5,1,20.5,1,19.5,1,19.5,1,4.05,1,4.16,"1,55",1.1,55,28,1,,,,,,,,,,,21.25,1,,,X,X,,X,X,X
Acrididae,Melanoplus mexicanus,,,,,,,,,,,4.27,55,1.02,55,,,,,,,,,,,,,19.3,55,,,,,,,,
Acrididae,Melanoplus occidentalis,20.1,1,23,1,21.55,1,21.55,1,4.35,1,4.9,1,,,42.5,1,,,,,Univoltine,1,1,0,0,0,9,1,,,X,X,,X,,X
Acrididae,Melanoplus packardii,29.5,1,33.75,1,31.625,1,31.625,1,5.1,1,4.9,1,,,55,1,,,,,,,,,,,22.5,1,,,X,X,,X,X,X
Acrididae,Melanoplus plebejus,,,,,,,,,,,4.09,55,1.07,55,,,,,,,,,,,,,16.8,55,,,,,,,,
Acrididae,Melanoplus rugglesi,20,1,25.75,1,22.875,1,22.875,1,4.7,1,4.5,1,,,42,1,,,,,,,,,,,19.5,1,,,X,,,,X,X
Acrididae,Melanoplus sanguinipes,23,1,24.5,1,23.75,1,23.75,1,5,1,4.5,"1,72",1.2,72,45,1,75,72,120,c,Variable,7,1,1,0,0,21.4,"1,57",17.55,"57,59",X,X,,X,X,X
Acrididae,Melanoplus scudderi,,,,,,,,,,,4.13,55,1.04,55,,,,,,,,,,,,,23.8,55,,,,,,,,
Acrididae,Mermiria bivittata,27,1,37.65,1,32.325,1,32.325,1,9.95,1,7.12,"1,55",1.56,55,,,,,,,,,,,,,17.95,"1,55",,,X,X,,X,,X
Acrididae,Mesopsera filum,,,,,,,44.4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,Mesopsis laticornis,,,,,,,,,,,5.95,9,,,,,,,,,,,,,,,30.5,9,,,X,,,,,
Acrididae,Metator pardalinus,23.5,1,32,1,27.75,1,27.75,1,6.75,1,6.62,"1,55",1.54,55,36,1,,,,,Univoltine,1,1,0,0,0,16,"1,55",,,X,X,,,X,
Acrididae,Metaxymecus gracilipes,,,,,,,,,,,4.75,9,,,,,,,,,Variable,7,1,1,0,0,34,9,,,X,,,,,
Acrididae,Miramella alpina,19.5,2,26.5,2,23,2,23,2,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Acrididae,Morphacris fasciata,,,,,,,,,,,4.55,9,,,,,,,,,,,,,,,24,9,,,X,,,,,
Acrididae,Myrmeleotettix maculatus,12,2,14.5,2,13.25,2,13.25,2,,,,,,,,,,,,,Univoltine,50,1,0,0,0,,,,,X,,,,,
Acrididae,Nebulatettix subgracilis,,,,,,,,,,,4.15,55,1.1,55,,,,,,,,,,,,,15.7,55,,,,,,,,
